n,seed,level,IG,danger_rate,useful_IG,D,IG_after_rebuild,danger_rate_after_rebuild,useful_IG_after_rebuild,D_after_rebuild,sample_units,candidate_cap,top_neighbors,affected_clauses,dangerous_clauses,forced,chosen_unit_size,rebuilt,rebuild_triggered,trigger_reason,baseline_D,after_D,improvement_ratio,runtime_seconds
200000,200000044,1,4,0.08333333333333333,3.6666666666666665,54545.454545454544,9,0.009708737864077669,8.912621359223301,22440.087145969497,500,250,16,24,2,2,2,True,True,weak_growth,54545.454545454544,22440.087145969497,2.4307149161518096,52.08170229999814
200000,200000044,2,4,0.08333333333333333,3.6666666666666665,54545.454545454544,18,0.010309278350515464,17.814432989690722,11226.851851851852,500,250,16,24,2,2,2,True,True,weak_growth,54545.454545454544,11226.851851851852,4.858481724461106,52.08170229999814
200000,200000044,3,4,0.08333333333333333,3.6666666666666665,54545.454545454544,,,,,500,250,16,24,2,2,2,False,True,weak_growth,54545.454545454544,,,52.08170229999814
200000,200000044,4,4,0.08333333333333333,3.6666666666666665,54545.454545454544,,,,,500,250,16,24,2,2,2,False,True,weak_growth,54545.454545454544,,,52.08170229999814
200000,200000044,5,4,0.08333333333333333,3.6666666666666665,54545.454545454544,,,,,500,250,16,24,2,2,2,False,True,weak_growth,54545.454545454544,,,52.08170229999814
500000,500000042,1,4,0.05555555555555555,3.7777777777777777,132352.9411764706,4,0.08333333333333333,3.6666666666666665,136363.63636363638,500,250,16,36,2,2,2,True,True,weak_growth,132352.9411764706,136363.63636363638,0.9705882352941176,141.05386730004102
500000,500000042,2,4,0.05555555555555555,3.7777777777777777,132352.9411764706,4,0.08333333333333333,3.6666666666666665,136363.63636363638,500,250,16,36,2,2,2,True,True,weak_growth,132352.9411764706,136363.63636363638,0.9705882352941176,141.05386730004102
500000,500000042,3,4,0.05555555555555555,3.7777777777777777,132352.9411764706,,,,,500,250,16,36,2,2,2,False,True,weak_growth,132352.9411764706,,,141.05386730004102
500000,500000042,4,4,0.05555555555555555,3.7777777777777777,132352.9411764706,,,,,500,250,16,36,2,2,2,False,True,weak_growth,132352.9411764706,,,141.05386730004102
500000,500000042,5,4,0.05555555555555555,3.7777777777777777,132352.9411764706,,,,,500,250,16,36,2,2,2,False,True,weak_growth,132352.9411764706,,,141.05386730004102
500000,500000043,1,4,0.05,3.8,131578.94736842107,4,0.05128205128205128,3.7948717948717947,131756.75675675677,500,250,16,40,2,2,2,True,True,weak_growth,131578.94736842107,131756.75675675677,0.9986504723346828,138.08996890002163
500000,500000043,2,4,0.05,3.8,131578.94736842107,4,0.05128205128205128,3.7948717948717947,131756.75675675677,500,250,16,40,2,2,2,True,True,weak_growth,131578.94736842107,131756.75675675677,0.9986504723346828,138.08996890002163
500000,500000043,3,4,0.05,3.8,131578.94736842107,,,,,500,250,16,40,2,2,2,False,True,weak_growth,131578.94736842107,,,138.08996890002163
500000,500000043,4,4,0.05,3.8,131578.94736842107,,,,,500,250,16,40,2,2,2,False,True,weak_growth,131578.94736842107,,,138.08996890002163
500000,500000043,5,4,0.05,3.8,131578.94736842107,,,,,500,250,16,40,2,2,2,False,True,weak_growth,131578.94736842107,,,138.08996890002163
500000,500000044,1,4,0.08,3.68,135869.5652173913,3,0.023255813953488372,2.9302325581395348,170634.92063492065,500,250,16,25,2,2,2,True,True,weak_growth,135869.5652173913,170634.92063492065,0.7962588473205257,136.82893239997793
500000,500000044,2,4,0.08,3.68,135869.5652173913,3,0.023255813953488372,2.9302325581395348,170634.92063492065,500,250,16,25,2,2,2,True,True,weak_growth,135869.5652173913,170634.92063492065,0.7962588473205257,136.82893239997793
500000,500000044,3,4,0.08,3.68,135869.5652173913,,,,,500,250,16,25,2,2,2,False,True,weak_growth,135869.5652173913,,,136.82893239997793
500000,500000044,4,4,0.08,3.68,135869.5652173913,,,,,500,250,16,25,2,2,2,False,True,weak_growth,135869.5652173913,,,136.82893239997793
500000,500000044,5,4,0.08,3.68,135869.5652173913,,,,,500,250,16,25,2,2,2,False,True,weak_growth,135869.5652173913,,,136.82893239997793
