n,seed,level,IG,danger_rate,useful_IG,D,IG_after_rebuild,danger_rate_after_rebuild,useful_IG_after_rebuild,D_after_rebuild,sample_units,candidate_cap,top_neighbors,min_useful_growth,topdown_bias,affected_clauses,dangerous_clauses,forced,chosen_unit_size,rebuilt,rebuild_triggered,trigger_level,trigger_reason,ratio_54,ratio_43,useful_IG_G3,useful_IG_G4,useful_IG_G5,baseline_D,after_D,improvement_ratio,runtime_seconds
100000,100000044,4,4,0.0,4.0,25000.0,35,0.007263922518159807,34.74576271186441,2878.048780487805,500,250,16,1.05,2.0,55,0,0,4,True,True,4,weak_growth,1.0,1.0,4.0,4.0,4.0,25000.0,2878.048780487805,8.686440677966102,20.26900149998255
100000,100000044,5,4,0.0,4.0,25000.0,48,0.01556420233463035,47.252918287937746,2116.2714097496705,500,250,16,1.05,2.0,55,0,0,4,True,True,4,weak_growth,1.0,1.0,4.0,4.0,4.0,25000.0,2116.2714097496705,11.813229571984436,20.26900149998255
200000,200000042,1,3,0.02631578947368421,2.9210526315789473,68468.46846846848,,,,,500,250,16,1.05,2.0,38,1,1,2,False,False,,,1.0,1.0,2.9210526315789473,2.9210526315789473,2.9210526315789473,68468.46846846848,,,43.12216039997293
200000,200000042,2,3,0.02631578947368421,2.9210526315789473,68468.46846846848,,,,,500,250,16,1.05,2.0,38,1,1,2,False,False,,,1.0,1.0,2.9210526315789473,2.9210526315789473,2.9210526315789473,68468.46846846848,,,43.12216039997293
200000,200000042,3,3,0.02631578947368421,2.9210526315789473,68468.46846846848,,,,,500,250,16,1.05,2.0,38,1,1,2,False,False,,,1.0,1.0,2.9210526315789473,2.9210526315789473,2.9210526315789473,68468.46846846848,,,43.12216039997293
200000,200000042,4,3,0.02631578947368421,2.9210526315789473,68468.46846846848,35,0.0066518847006651885,34.76718403547672,5752.551020408164,500,250,16,1.05,2.0,38,1,1,2,True,True,4,weak_growth,1.0,1.0,2.9210526315789473,2.9210526315789473,2.9210526315789473,68468.46846846848,5752.551020408164,11.90227921935239,43.12216039997293
200000,200000042,5,3,0.02631578947368421,2.9210526315789473,68468.46846846848,44,0.007067137809187279,43.68904593639576,4577.806535101909,500,250,16,1.05,2.0,38,1,1,2,True,True,4,weak_growth,1.0,1.0,2.9210526315789473,2.9210526315789473,2.9210526315789473,68468.46846846848,4577.806535101909,14.95661032056792,43.12216039997293
200000,200000043,1,4,0.08,3.68,54347.82608695652,,,,,500,250,16,1.05,2.0,25,2,2,2,False,False,,,1.0,1.0,4.0,4.0,4.0,54347.82608695652,,,44.07852560002357
200000,200000043,2,4,0.0,4.0,50000.0,,,,,500,250,16,1.05,2.0,54,0,0,4,False,False,,,1.0,1.0,4.0,4.0,4.0,50000.0,,,44.07852560002357
200000,200000043,3,4,0.0,4.0,50000.0,,,,,500,250,16,1.05,2.0,54,0,0,4,False,False,,,1.0,1.0,4.0,4.0,4.0,50000.0,,,44.07852560002357
200000,200000043,4,4,0.0,4.0,50000.0,4,0.08,3.68,54347.82608695652,500,250,16,1.05,2.0,54,0,0,4,True,True,4,weak_growth,1.0,1.0,4.0,4.0,4.0,50000.0,54347.82608695652,0.92,44.07852560002357
200000,200000043,5,4,0.0,4.0,50000.0,4,0.08,3.68,54347.82608695652,500,250,16,1.05,2.0,54,0,0,4,True,True,4,weak_growth,1.0,1.0,4.0,4.0,4.0,50000.0,54347.82608695652,0.92,44.07852560002357
200000,200000044,1,4,0.08333333333333333,3.6666666666666665,54545.454545454544,,,,,500,250,16,1.05,2.0,24,2,2,2,False,False,,,1.0,1.0,3.6666666666666665,3.6666666666666665,3.6666666666666665,54545.454545454544,,,44.12993990001269
200000,200000044,2,4,0.08333333333333333,3.6666666666666665,54545.454545454544,,,,,500,250,16,1.05,2.0,24,2,2,2,False,False,,,1.0,1.0,3.6666666666666665,3.6666666666666665,3.6666666666666665,54545.454545454544,,,44.12993990001269
200000,200000044,3,4,0.08333333333333333,3.6666666666666665,54545.454545454544,,,,,500,250,16,1.05,2.0,24,2,2,2,False,False,,,1.0,1.0,3.6666666666666665,3.6666666666666665,3.6666666666666665,54545.454545454544,,,44.12993990001269
200000,200000044,4,4,0.08333333333333333,3.6666666666666665,54545.454545454544,34,0.0049261083743842365,33.83251231527094,5911.473500291205,500,250,16,1.05,2.0,24,2,2,2,True,True,4,weak_growth,1.0,1.0,3.6666666666666665,3.6666666666666665,3.6666666666666665,54545.454545454544,5911.473500291205,9.227048813255712,44.12993990001269
200000,200000044,5,4,0.08333333333333333,3.6666666666666665,54545.454545454544,45,0.009596928982725527,44.56813819577735,4487.510766580534,500,250,16,1.05,2.0,24,2,2,2,True,True,4,weak_growth,1.0,1.0,3.6666666666666665,3.6666666666666665,3.6666666666666665,54545.454545454544,4487.510766580534,12.154946780666549,44.12993990001269
500000,500000042,1,4,0.05555555555555555,3.7777777777777777,132352.9411764706,,,,,500,250,16,1.05,2.0,36,2,2,2,False,False,,,1.0,1.0,3.7777777777777777,3.7777777777777777,3.7777777777777777,132352.9411764706,,,116.36851399997249
500000,500000042,2,4,0.05555555555555555,3.7777777777777777,132352.9411764706,,,,,500,250,16,1.05,2.0,36,2,2,2,False,False,,,1.0,1.0,3.7777777777777777,3.7777777777777777,3.7777777777777777,132352.9411764706,,,116.36851399997249
500000,500000042,3,4,0.05555555555555555,3.7777777777777777,132352.9411764706,,,,,500,250,16,1.05,2.0,36,2,2,2,False,False,,,1.0,1.0,3.7777777777777777,3.7777777777777777,3.7777777777777777,132352.9411764706,,,116.36851399997249
500000,500000042,4,4,0.05555555555555555,3.7777777777777777,132352.9411764706,4,0.08333333333333333,3.6666666666666665,136363.63636363638,500,250,16,1.05,2.0,36,2,2,2,True,True,4,weak_growth,1.0,1.0,3.7777777777777777,3.7777777777777777,3.7777777777777777,132352.9411764706,136363.63636363638,0.9705882352941176,116.36851399997249
500000,500000042,5,4,0.05555555555555555,3.7777777777777777,132352.9411764706,4,0.08333333333333333,3.6666666666666665,136363.63636363638,500,250,16,1.05,2.0,36,2,2,2,True,True,4,weak_growth,1.0,1.0,3.7777777777777777,3.7777777777777777,3.7777777777777777,132352.9411764706,136363.63636363638,0.9705882352941176,116.36851399997249
500000,500000043,1,4,0.05,3.8,131578.94736842107,,,,,500,250,16,1.05,2.0,40,2,2,2,False,False,,,1.0,1.0,3.8,3.8,3.8,131578.94736842107,,,110.0257142999908
500000,500000043,2,4,0.05,3.8,131578.94736842107,,,,,500,250,16,1.05,2.0,40,2,2,2,False,False,,,1.0,1.0,3.8,3.8,3.8,131578.94736842107,,,110.0257142999908
500000,500000043,3,4,0.05,3.8,131578.94736842107,,,,,500,250,16,1.05,2.0,40,2,2,2,False,False,,,1.0,1.0,3.8,3.8,3.8,131578.94736842107,,,110.0257142999908
500000,500000043,4,4,0.05,3.8,131578.94736842107,4,0.05128205128205128,3.7948717948717947,131756.75675675677,500,250,16,1.05,2.0,40,2,2,2,True,True,4,weak_growth,1.0,1.0,3.8,3.8,3.8,131578.94736842107,131756.75675675677,0.9986504723346828,110.0257142999908
500000,500000043,5,4,0.05,3.8,131578.94736842107,4,0.05128205128205128,3.7948717948717947,131756.75675675677,500,250,16,1.05,2.0,40,2,2,2,True,True,4,weak_growth,1.0,1.0,3.8,3.8,3.8,131578.94736842107,131756.75675675677,0.9986504723346828,110.0257142999908
500000,500000044,1,4,0.08,3.68,135869.5652173913,,,,,500,250,16,1.05,2.0,25,2,2,2,False,False,,,1.0,1.0,3.68,3.68,3.68,135869.5652173913,,,115.6927267999854
500000,500000044,2,4,0.08,3.68,135869.5652173913,,,,,500,250,16,1.05,2.0,25,2,2,2,False,False,,,1.0,1.0,3.68,3.68,3.68,135869.5652173913,,,115.6927267999854
500000,500000044,3,4,0.08,3.68,135869.5652173913,,,,,500,250,16,1.05,2.0,25,2,2,2,False,False,,,1.0,1.0,3.68,3.68,3.68,135869.5652173913,,,115.6927267999854
