task,case,seed,mode,w_g,success,verified,decision_steps,forced_steps,score_calls
Vertex Cover,10,53,weighted_G_0.1_depth2,0.1,True,True,18,0,17648
Vertex Cover,10,53,weighted_G_0.2_depth2,0.2,True,True,18,0,17648
Vertex Cover,10,53,weighted_G_0.4_depth2,0.4,True,True,18,0,17728
Vertex Cover,10,53,LG_depth2,1.0,True,True,18,0,12274
Vertex Cover,11,54,L_depth2,0.0,True,True,18,0,17380
Vertex Cover,11,54,weighted_G_0.1_depth2,0.1,True,True,18,0,17380
Vertex Cover,11,54,weighted_G_0.2_depth2,0.2,True,True,18,0,17380
Vertex Cover,11,54,weighted_G_0.4_depth2,0.4,True,True,18,0,17380
Vertex Cover,11,54,LG_depth2,1.0,True,True,18,0,15288
Vertex Cover,12,55,L_depth2,0.0,True,True,18,0,17176
Vertex Cover,12,55,weighted_G_0.1_depth2,0.1,True,True,18,0,17176
Vertex Cover,12,55,weighted_G_0.2_depth2,0.2,True,True,18,0,17176
Vertex Cover,12,55,weighted_G_0.4_depth2,0.4,True,True,18,0,17176
Vertex Cover,12,55,LG_depth2,1.0,True,True,18,0,14944
Vertex Cover,13,56,L_depth2,0.0,True,True,18,0,17652
Vertex Cover,13,56,weighted_G_0.1_depth2,0.1,True,True,18,0,17652
Vertex Cover,13,56,weighted_G_0.2_depth2,0.2,True,True,18,0,17652
Vertex Cover,13,56,weighted_G_0.4_depth2,0.4,True,True,18,0,17732
Vertex Cover,13,56,LG_depth2,1.0,True,True,18,0,13008
Vertex Cover,14,57,L_depth2,0.0,True,True,18,0,17648
Vertex Cover,14,57,weighted_G_0.1_depth2,0.1,True,True,18,0,17648
Vertex Cover,14,57,weighted_G_0.2_depth2,0.2,True,True,18,0,17648
Vertex Cover,14,57,weighted_G_0.4_depth2,0.4,True,True,18,0,17728
Vertex Cover,14,57,LG_depth2,1.0,True,True,18,0,15530
Vertex Cover,15,58,L_depth2,0.0,True,True,18,0,17652
Vertex Cover,15,58,weighted_G_0.1_depth2,0.1,True,True,18,0,17652
Vertex Cover,15,58,weighted_G_0.2_depth2,0.2,True,True,18,0,17652
Vertex Cover,15,58,weighted_G_0.4_depth2,0.4,True,True,18,0,17732
Vertex Cover,15,58,LG_depth2,1.0,True,True,18,0,13526
Vertex Cover,16,59,L_depth2,0.0,True,True,18,0,17652
Vertex Cover,16,59,weighted_G_0.1_depth2,0.1,True,True,18,0,17652
Vertex Cover,16,59,weighted_G_0.2_depth2,0.2,True,True,18,0,17652
Vertex Cover,16,59,weighted_G_0.4_depth2,0.4,True,True,18,0,17652
Vertex Cover,16,59,LG_depth2,1.0,True,True,18,0,14956
Vertex Cover,17,60,L_depth2,0.0,True,True,18,0,17652
Vertex Cover,17,60,weighted_G_0.1_depth2,0.1,True,True,18,0,17652
Vertex Cover,17,60,weighted_G_0.2_depth2,0.2,True,True,18,0,17652
Vertex Cover,17,60,weighted_G_0.4_depth2,0.4,True,True,18,0,17732
Vertex Cover,17,60,LG_depth2,1.0,True,True,18,0,12274
Vertex Cover,18,61,L_depth2,0.0,True,True,18,0,17368
Vertex Cover,18,61,weighted_G_0.1_depth2,0.1,True,True,18,0,17368
Vertex Cover,18,61,weighted_G_0.2_depth2,0.2,True,True,18,0,17368
Vertex Cover,18,61,weighted_G_0.4_depth2,0.4,True,True,18,0,17368
Vertex Cover,18,61,LG_depth2,1.0,True,True,18,0,15350
Vertex Cover,19,62,L_depth2,0.0,True,True,18,0,17648
Vertex Cover,19,62,weighted_G_0.1_depth2,0.1,True,True,18,0,17648
Vertex Cover,19,62,weighted_G_0.2_depth2,0.2,True,True,18,0,17648
Vertex Cover,19,62,weighted_G_0.4_depth2,0.4,True,True,18,0,17648
Vertex Cover,19,62,LG_depth2,1.0,True,True,18,0,14512
Vertex Cover,20,63,L_depth2,0.0,True,True,18,0,17384
Vertex Cover,20,63,weighted_G_0.1_depth2,0.1,True,True,18,0,17384
Vertex Cover,20,63,weighted_G_0.2_depth2,0.2,True,True,18,0,17384
Vertex Cover,20,63,weighted_G_0.4_depth2,0.4,True,True,18,0,17384
Vertex Cover,20,63,LG_depth2,1.0,True,True,18,0,15008
Vertex Cover,21,64,L_depth2,0.0,True,True,18,0,17652
Vertex Cover,21,64,weighted_G_0.1_depth2,0.1,True,True,18,0,17652
Vertex Cover,21,64,weighted_G_0.2_depth2,0.2,True,True,18,0,17652
Vertex Cover,21,64,weighted_G_0.4_depth2,0.4,True,True,18,0,17732
Vertex Cover,21,64,LG_depth2,1.0,True,True,18,0,13834
Vertex Cover,22,65,L_depth2,0.0,True,True,18,0,17380
